2019,CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
2019,201901174219,0,0,1,0,0,0,1,1,1
2019,201901176655,0,0,0,0,0,0,0,0,1
2019,201901176667,0,1,0,0,0,1,0,0,1
2019,201901176694,0,0,0,0,0,1,0,0,1
2019,201901176702,0,0,0,0,0,1,0,0,1
2019,201901176716,0,0,0,0,0,0,0,0,1
2019,201901176733,1,0,0,0,0,1,0,0,1
2019,201901180044,0,0,0,0,0,0,0,0,1
2019,201901180155,0,0,0,0,0,1,0,0,1
2019,201901180165,0,0,0,0,0,1,0,0,1
2019,201901180224,0,0,0,0,0,1,0,1,1
2019,201901180254,0,0,0,0,0,1,0,0,1
2019,201901180300,0,0,0,0,0,0,0,0,1
2019,201901180324,0,0,0,0,0,1,0,0,1
2019,201901180372,0,0,0,0,0,1,1,0,1
2019,201901180392,0,0,0,0,0,1,0,0,1
2019,201901181432,0,0,0,0,0,0,0,1,1
2019,201901181435,0,0,0,0,0,0,0,1,1
2019,201901181437,0,0,0,0,0,0,0,1,1
2019,201901181504,0,0,0,0,0,0,0,0,1
2019,201901181508,0,0,0,0,0,0,0,0,1
2019,201901181754,0,0,0,0,0,1,0,0,1
2019,201901181794,0,0,0,0,0,1,0,0,1
2019,201901181863,0,0,0,0,0,1,0,0,1
2019,201901181874,0,0,0,0,0,1,0,0,1
2019,201901181893,0,0,0,0,0,1,0,0,1
2019,201901181982,1,0,0,0,0,1,0,1,1
2019,201901181986,0,0,0,0,0,1,0,1,1
2019,201901182000,0,0,0,0,0,1,0,0,1
2019,201901182018,0,0,0,0,0,1,0,0,1
2019,201901182019,0,0,0,0,0,1,0,0,1
2019,201901182028,0,0,0,0,0,1,0,0,1
2019,201901182029,1,0,0,0,0,1,1,0,1
2019,201901182038,0,0,0,0,0,1,0,0,1
2019,201901182039,0,0,0,0,0,1,0,0,1
2019,201901182089,0,0,0,0,0,0,0,0,1
2019,201901182093,0,0,0,0,0,0,0,1,1
2019,201901182102,0,0,0,0,0,1,0,0,1
2019,201901182121,0,0,0,0,0,1,0,0,1
2019,201901182133,0,0,0,0,0,1,0,0,1
2019,201901182187,0,0,0,0,0,1,0,1,1
2019,201901182206,0,0,0,0,0,1,0,1,1
2019,201901182257,0,0,0,0,0,1,0,1,1
2019,201901182259,0,0,0,0,0,1,0,1,1
2019,201901183185,0,0,0,0,0,0,0,0,1
2019,201901183189,0,0,0,0,0,0,1,1,1
2019,201901183206,0,0,0,0,0,1,0,0,1
2019,201901183207,0,0,0,0,0,1,0,1,1
2019,201901183211,0,0,0,0,0,1,0,0,1
2019,201901183276,0,0,0,0,0,1,0,0,1
2019,201901183277,0,0,0,0,0,1,0,0,1
2019,201901183399,0,0,0,0,0,1,0,0,1
2019,201901183458,0,0,0,0,0,1,0,0,1
2019,201901183484,0,0,0,0,0,1,0,1,1
2019,201901183495,0,0,0,0,0,1,0,1,1
2019,201901183507,0,0,0,0,0,1,0,0,1
2019,201901183527,0,0,0,0,0,1,0,0,1
2019,201901183533,0,0,0,0,0,1,0,0,1
2019,201901183563,0,0,0,0,0,1,0,0,1
2019,201901183573,0,0,0,0,0,0,0,0,1
2019,201901183578,0,0,0,0,0,0,0,1,1
2019,201901183582,0,0,0,0,0,0,0,1,1
2019,201901183591,0,0,0,0,0,1,0,0,1
2019,201901183629,0,0,0,0,0,1,0,0,1
2019,201901183654,0,0,0,0,0,1,0,0,1
2019,201901183664,0,0,0,1,0,1,0,0,1
2019,201901183676,0,0,0,0,0,1,0,0,1
2019,201901183734,0,0,0,0,0,1,0,1,1
2019,201901183753,0,0,0,0,0,1,0,1,1
2019,201901184137,0,0,0,0,0,1,0,1,1
2019,201901184162,0,0,0,0,0,1,0,1,1
2019,201901184167,0,0,0,0,0,1,0,0,1
2019,201901184169,0,0,0,0,0,1,0,1,1
2019,201901184174,0,0,0,0,0,1,0,0,1
2019,201901184192,0,0,0,0,0,1,0,0,1
2019,201901184218,0,0,0,0,0,1,0,1,1
2019,201901184220,0,0,0,0,0,1,0,1,1
2019,201901184221,0,0,0,0,0,1,0,1,1
2019,201901184246,0,0,0,0,0,1,0,0,1
2019,201901184251,0,0,0,0,0,1,0,0,1
2019,201901184278,0,0,0,0,0,1,0,1,1
2019,201901184297,0,0,0,0,0,1,0,0,1
2019,201901184301,0,0,0,0,0,1,0,0,1
2019,201901184303,0,0,0,0,0,1,0,0,1
2019,201901184305,0,0,0,0,0,1,0,0,1
2019,201901184346,0,0,0,0,0,1,0,1,1
2019,201901184348,0,0,0,0,0,1,0,1,1
2019,201901184368,0,0,0,0,0,1,0,1,1
2019,201901184374,0,0,0,0,0,0,0,1,1
2019,201901184379,0,1,0,0,0,0,0,1,1
2019,201901184380,0,0,0,0,0,0,0,0,1
2019,201901184385,0,0,0,0,0,0,0,1,1
2019,201901184391,0,0,0,0,0,0,0,0,1
2019,201901184392,0,0,0,0,0,0,1,0,1
2019,201901184398,0,0,0,0,0,0,0,1,1
2019,201901184412,0,0,0,0,0,0,0,1,1
2019,201901184416,0,0,0,0,0,0,0,1,1
2019,201901184424,0,0,0,0,0,0,0,1,1
2019,201901184428,0,0,0,0,0,0,0,1,1
2019,201901184429,0,0,0,0,0,0,0,1,1
2019,201901184432,0,0,0,0,0,0,0,1,1
2019,201901184436,0,0,0,0,0,0,0,1,1
2019,201901184444,0,0,0,0,0,0,0,0,1
2019,201901184452,0,0,0,0,0,0,0,1,1
2019,201901184465,0,0,0,0,0,0,0,0,1
2019,201901184472,0,0,0,0,0,0,0,0,1
2019,201901184477,0,0,0,0,0,0,0,0,1
2019,201901184513,0,0,0,0,0,0,1,1,1
2019,201901184528,0,0,0,0,0,0,0,1,1
2019,201901184529,0,0,0,0,0,0,0,1,1
